DATASET INFORMATION:
TOTAL PACKAGES: 620221
TOTAL SNIPPETS: 2161911
--------
ERROR ANALYSIS

ERROR, CODE, CATEGORY, NUM OCCURANCES, NUM AFFECTED SNIPPETS, FIRST ID, PERCENT
Unterminated string literal., 1002, 1, 15574, 10861, 389, 0.005023796076711761
JSX expressions must have one parent element., 2657, 1, 12759, 11915, 14, 0.005511327709605067
Object is possibly 'undefined'., 2532, 1, 12091, 5863, 847, 0.002711952527185439
Type '(required: any) => void' is not assignable to type 'string | number | symbol'., 2322, 1, 11885, 7801, 96, 0.0036083816586344212
The 'const' modifier can only be used in TypeScript files., 8009, 1, 11853, 4919, 1319, 0.0022753018047458936
Cannot assign to 'version' because it is an import., 2632, 1, 11755, 10355, 620, 0.004789743888624462
Property assignment expected., 1136, 1, 10172, 8058, 989, 0.0037272579676036616
'module' declarations can only be used in TypeScript files., 8006, 1, 9607, 7141, 172, 0.0033030961959118576
Type assertion expressions can only be used in TypeScript files., 8016, 1, 9146, 6663, 85, 0.003081995512303698
Variable declaration expected., 1134, 1, 9135, 6863, 153, 0.0031745062585832626
Type aliases can only be used in TypeScript files., 8008, 1, 8615, 4465, 1925, 0.002065302410691282
Non-null assertions can only be used in TypeScript files., 8013, 1, 8517, 5669, 43, 0.0026222171032942616
Unterminated template literal., 1160, 1, 8126, 8126, 48, 0.0037587116213387136
Module declaration names may only use ' or " quoted strings., 1443, 1, 7920, 3805, 809, 0.0017600169479687184
An arithmetic operand must be of type 'any', 'number', 'bigint' or an enum type., 2356, 1, 7603, 5270, 624, 0.00243765816446653
The operand of an increment or decrement operator must be a variable or a property access., 2357, 1, 6518, 3119, 377, 0.0014427050882298116
A 'return' statement can only be used within a function body., 1108, 1, 6296, 5585, 1068, 0.0025833625898568444
Expected corresponding JSX closing tag for 'div'., 17002, 1, 5966, 3842, 21, 0.0017771314360304378
Cannot find module '18Awesome.json'. Consider using '--resolveJsonModule' to import module with '.json' extension., 2732, 1, 5810, 5186, 515, 0.0023988036510291127
Value of type 'typeof URL' is not callable. Did you mean to include 'new'?, 2348, 1, 5356, 4350, 755, 0.002012108731580532
Type 'void' is not an array type., 2461, 1, 5322, 4401, 1964, 0.0020356989718818214
Cannot find namespace 'an'., 2503, 1, 5081, 2418, 1215, 0.0011184549225199372
Argument of type 'Buffer' is not assignable to parameter of type 'string'., 2345, 1, 4629, 3692, 503, 0.0017077483763207643
Function implementation is missing or not immediately following the declaration., 2391, 1, 4441, 874, 50739, 0.0004042719612416977
The left-hand side of an assignment expression must be a variable or a property access., 2364, 1, 4031, 1921, 481, 0.0008885657180152189
Unexpected token. A constructor, method, accessor, or property was expected., 1068, 1, 3830, 2782, 1652, 0.001286824480748745
Cannot assign to 'version' because it is a constant., 2588, 1, 3724, 2435, 1754, 0.0011263183359537003
An element access expression should take an argument., 1011, 1, 3576, 2012, 1081, 0.0009306581075724209
Type expected., 1110, 1, 3465, 2477, 2356, 0.0011457455926724089
'import ... =' can only be used in TypeScript files., 8002, 1, 3232, 2362, 1215, 0.001092551913561659
Duplicate function implementation., 2393, 1, 3036, 1153, 5040, 0.0005333244523016905
The value 'null' cannot be used here., 18050, 1, 2946, 1819, 1501, 0.0008413852374126409
This comparison appears to be unintentional because the types '() => string' and 'string' have no overlap., 2367, 1, 2910, 1698, 760, 0.0007854162359135043
Parameter modifiers can only be used in TypeScript files., 8012, 1, 2897, 2234, 2092, 0.0010333450359427377
Array element destructuring pattern expected., 1181, 1, 2821, 1769, 5128, 0.0008182575508427497
'$cssName' refers to a value, but is being used as a type here. Did you mean 'typeof $cssName'?, 2749, 1, 2674, 1892, 1081, 0.000875151659804682
Type '{ id: string; value: number; }' cannot be used as an index type., 2538, 1, 2668, 1652, 2344, 0.0007641387642692044
Cannot assign to 'order' because it is a function., 2630, 1, 2655, 2380, 96, 0.00110087788072682
The operand of a 'delete' operator must be a property reference., 2703, 1, 2515, 1864, 51, 0.000862200155325543
'const' is not allowed as a variable declaration name., 1389, 1, 2354, 1682, 747, 0.0007780153762111391
'*/' expected., 1010, 1, 2344, 2344, 39, 0.0010842259463964984
An expression of type 'void' cannot be tested for truthiness., 1345, 1, 2279, 1985, 4322, 0.0009181691568246797
Expression or comma expected., 1137, 1, 2251, 1383, 627, 0.0006397118105231899
Index signature in type 'String' only permits reading., 2542, 1, 2228, 854, 4152, 0.00039502088661374124
No overload matches this call., 2769, 1, 2178, 1688, 232, 0.0007807906985995261
A module cannot have multiple default exports., 2528, 1, 2019, 722, 3770, 0.00033396379406922856
Unable to resolve signature of class decorator when called as an expression., 1238, 1, 1922, 1773, 4826, 0.000820107765768341
Type 'IArguments' can only be iterated through when using the '--downlevelIteration' flag or with a '--target' of 'es2015' or higher., 2802, 1, 1912, 1542, 840, 0.0007132578538154438
A 'yield' expression is only allowed in a generator body., 1163, 1, 1901, 1285, 20589, 0.0005943815448462031
The '|' operator is not allowed for boolean types. Consider using '||' instead., 2447, 1, 1892, 1084, 1776, 0.0005014082448352407
'cropper' is possibly 'undefined'., 18048, 1, 1725, 888, 1105, 0.0004107477134812673
Property or signature expected., 1131, 1, 1606, 648, 8306, 0.0002997348179457896
'{' or ';' expected., 1144, 1, 1603, 1255, 1652, 0.0005805049329042685
Digit expected., 1124, 1, 1557, 721, 377, 0.00033350124033783074
Identifier expected. 'in' is a reserved word that cannot be used here., 1359, 1, 1531, 1027, 2288, 0.0004750426821455647
String literal expected., 1141, 1, 1515, 1418, 4179, 0.0006559011911221138
Cannot use namespace 'to' as a value., 2708, 1, 1394, 532, 5917, 0.0002460785851036421
An object literal cannot have multiple properties with the same name., 1117, 1, 1373, 894, 4955, 0.0004135230358696542
'implements' clauses can only be used in TypeScript files., 8005, 1, 1371, 1333, 5116, 0.0006165841239532987
This expression is not constructable., 2351, 1, 1360, 1126, 153, 0.0005208355015539493
Type arguments can only be used in TypeScript files., 8011, 1, 1309, 1069, 1652, 0.0004944699388642733
Individual declarations in merged declaration 'two' must be all exported or all local., 2395, 1, 1308, 347, 2053, 0.00016050614479504475
Augmentations for the global scope should have 'declare' modifier unless they appear in already ambient context., 2670, 1, 1306, 951, 6442, 0.0004398885985593301
Augmentations for the global scope can only be directly nested in external modules or ambient module declarations., 2669, 1, 1268, 924, 6679, 0.0004273996478115889
JSX spread child must be an array type., 2609, 1, 1255, 857, 5154, 0.00039640854780793476
'await' expressions are only allowed at the top level of a file when that file is a module, but this file has no imports or exports. Consider adding an empty 'export {}' to make this file a module., 1375, 1, 1243, 826, 2514, 0.0003820693821346022
This condition will always return 'true' since JavaScript compares objects by reference, not value., 2839, 1, 1205, 781, 5939, 0.0003612544642217002
Only a void function can be called with the 'new' keyword., 2350, 1, 1134, 1061, 887, 0.0004907695090130907
A parameter initializer is only allowed in a function or constructor implementation., 2371, 1, 1114, 517, 14895, 0.00023914027913267476
Spread types may only be created from object types., 2698, 1, 1008, 869, 14348, 0.0004019591925847086
Module '"fs"' has no default export., 1192, 1, 982, 960, 3156, 0.00044405158214191057
Module '"path"' can only be default-imported using the 'esModuleInterop' flag, 1259, 1, 972, 959, 3412, 0.00044358902841051275
Type parameter declarations can only be used in TypeScript files., 8004, 1, 966, 754, 5119, 0.0003487655134739589
'{' or JSX element expected., 1145, 1, 864, 639, 3325, 0.0002955718343632092
'MyElement' is referenced directly or indirectly in its own base expression., 2506, 1, 860, 855, 5910, 0.0003954834403451391
A spread argument must either have a tuple type or be passed to a rest parameter., 2556, 1, 859, 714, 6062, 0.000330263364218046
Unable to resolve signature of property decorator when called as an expression., 1240, 1, 825, 519, 4224, 0.0002400653865954704
Parameter declaration expected., 1138, 1, 774, 520, 5175, 0.00024052794032686822
A function whose declared type is neither 'void' nor 'any' must return a value., 2355, 1, 772, 427, 7395, 0.00019751044330687062
A computed property name must be of type 'string', 'number', 'symbol', or 'any'., 2464, 1, 750, 663, 11162, 0.000306673123916757
Initializer provides no value for this binding element and the binding element has no default value., 2525, 1, 696, 265, 11269, 0.00012257673882042322
Top-level 'for await' loops are only allowed when the 'module' option is set to 'es2022', 'esnext', 'system', 'node16', or 'nodenext', and the 'target' option is set to 'es2017' or higher., 1432, 1, 680, 625, 6742, 0.0002890960821236397
Super calls are not permitted outside constructors or in nested functions inside constructors., 2337, 1, 562, 541, 1988, 0.0002502415686862225
'const' declarations must be initialized., 1155, 1, 561, 376, 1578, 0.00017392020300558163
Class 'AppComponent' used before its declaration., 2449, 1, 557, 289, 11549, 0.00013367802837397098
JSX element type 'LoadableBar' does not have any construct or call signatures., 2604, 1, 549, 469, 3378, 0.00021693770002557922
Qualified name 'bitcoinjs-lib.KeyPair' is not allowed without a leading '@param {object} bitcoinjs-lib'., 8032, 1, 540, 157, 67173, 0.00007262093582945828
Property 'minus' does not exist on type 'Math'. Did you mean 'min'?, 2551, 1, 539, 414, 12126, 0.00019149724479869892
'(Missing)' is an unused renaming of 'type'. Did you intend to use it as a type annotation?, 2842, 1, 529, 201, 12746, 0.00009297330001096252
Private identifiers are not allowed outside class bodies., 18016, 1, 509, 237, 74370, 0.00010962523434128417
Cannot redeclare exported variable 'default'., 2323, 1, 486, 174, 5546, 0.00008048434926322129
An object member cannot be declared optional., 1162, 1, 471, 119, 4756, 0.00005504389403634099
Property 'prefix' is missing in type '{ base: string; perpage: number; posts: number[]; }' but required in type '{ base: string; perpage: number; posts: number[]; prefix: string; }'., 2741, 1, 466, 378, 8556, 0.0001748453104683773
Cannot invoke an object which is possibly 'undefined'., 2722, 1, 456, 365, 19587, 0.00016883211196020556
JSDoc '@param' tag has name 'domain', but there is no parameter with that name., 8024, 1, 455, 210, 15478, 0.00009713628359354294
Function with bodies can only merge with classes that are ambient., 2814, 1, 428, 68, 5546, 0.000031453653735052
Merge conflict marker encountered., 1185, 1, 417, 386, 2597, 0.00017854574031955987
Unable to resolve signature of method decorator when called as an expression., 1241, 1, 415, 316, 22244, 0.00014616697912171224
Type 'Date' is missing the following properties from type 'DateConstructor': prototype, parse, UTC, now, 2739, 1, 398, 338, 7882, 0.00015634316121246433
'return' tag already specified., 1223, 1, 397, 122, 52541, 0.000056431555230534464
'static' modifier cannot appear on a module or namespace element., 1044, 1, 394, 276, 14951, 0.00012766482986579928
'super' can only be referenced in members of derived classes or object literal expressions., 2660, 1, 358, 269, 1988, 0.00012442695374601453
Trailing comma not allowed., 1009, 1, 358, 321, 4379, 0.00014847974777870135
Property destructuring pattern expected., 1180, 1, 349, 251, 45866, 0.0001161009865808537
The 'import.meta' meta-property is only allowed when the '--module' option is 'es2020', 'es2022', 'esnext', 'system', 'node16', or 'nodenext'., 1343, 1, 346, 270, 2919, 0.00012488950747741235
Constructor implementation is missing., 2390, 1, 345, 298, 14254, 0.0001378410119565514
An import path cannot end with a '.ts' extension. Consider importing '@555platform/Author' instead., 2691, 1, 333, 292, 4810, 0.00013506568956816447
Type 'void' is not a constructor function type., 2507, 1, 332, 322, 10633, 0.00014894230151009917
Function type, which lacks return-type annotation, implicitly has an 'any' return type., 7014, 1, 321, 231, 5175, 0.00010684991195289722
An unary expression with the '-' operator is not allowed in the left-hand side of an exponentiation expression. Consider enclosing the expression in parentheses., 17006, 1, 313, 203, 12317, 0.00009389840747375817
'const' declarations can only be declared inside a block., 1156, 1, 308, 284, 37333, 0.00013136525971698188
Numeric separators are not allowed here., 6188, 1, 302, 180, 12323, 0.00008325967165160823
Type 'TemplateStringsArray' has no properties in common with type 'RunOptions'., 2559, 1, 294, 269, 809, 0.00012442695374601453
Type 'void' is not an array type or a string type., 2495, 1, 282, 259, 1556, 0.00011980141643203629
Type alias name cannot be 'ɵɵFactoryDef'., 2457, 1, 274, 187, 12991, 0.00008649754777139299
'for' is not allowed as a parameter name., 1390, 1, 259, 172, 26198, 0.00007955924180042564
Hexadecimal digit expected., 1125, 1, 244, 131, 84, 0.000060594538813114876
'with' statements are not allowed in strict mode., 1101, 1, 239, 157, 19536, 0.00007262093582945828
JSX attributes must only be assigned a non-empty 'expression'., 17000, 1, 229, 206, 6586, 0.00009528606866795164
The body of an 'if' statement cannot be the empty statement., 1313, 1, 222, 157, 48960, 0.00007262093582945828
Type 'InputType' is not generic., 2315, 1, 221, 163, 3790, 0.00007539625821784523
Enum declarations can only merge with namespace or other enum declarations., 2567, 1, 221, 77, 6030, 0.00003561663731763241
Circular definition of import alias 'the'., 2303, 1, 221, 85, 9423, 0.000039317067168814994
Duplicate identifier 'exports'. Compiler reserves name 'exports' in top level scope of a module., 2441, 1, 220, 214, 25291, 0.00009898649851913423
Decorators are not valid here., 1206, 1, 217, 133, 134802, 0.00006151964627591052
Expected '=' for property initializer., 1442, 1, 216, 146, 5119, 0.00006753284478408224
Declaration or statement expected. This '=' follows a block of statements, so if you intended to write a destructuring assignment, you might need to wrap the the whole assignment in parentheses., 2809, 1, 214, 180, 19587, 0.00008325967165160823
Cannot assign to 'A' because it is a class., 2629, 1, 213, 196, 14704, 0.00009066053135397341
A 'this' parameter must be the first parameter., 2680, 1, 209, 206, 75129, 0.00009528606866795164
'super' must be followed by an argument list or member access., 1034, 1, 196, 144, 21677, 0.00006660773732128658
Type parameter declaration expected., 1139, 1, 195, 166, 5119, 0.0000767839194120387
The left-hand side of an 'instanceof' expression must be of type 'any', an object type or a type parameter., 2358, 1, 188, 125, 2976, 0.000057819216424727935
'case' or 'default' expected., 1130, 1, 185, 115, 21607, 0.0000531936791107497
Type '{}' is missing the following properties from type 'Process': stdout, stderr, stdin, openStdin, and 50 more., 2740, 1, 183, 172, 14313, 0.00007955924180042564
Cannot find type definition file for 'cypress'., 2688, 1, 174, 174, 46075, 0.00008048434926322129
JSDoc '@extends' is not attached to a class., 8022, 1, 169, 80, 104599, 0.00003700429851182588
An arrow function cannot have a 'this' parameter., 2730, 1, 168, 165, 75129, 0.00007632136568064088
Property 'replaceAll' does not exist on type '"Test abc test test abc test."'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2021' or later., 2550, 1, 168, 99, 87068, 0.000045792819408384527
JSX fragment has no corresponding closing tag., 17014, 1, 162, 84, 15175, 0.00003885451343741717
Cannot find name 'await'. Did you mean to write this in an async function?, 2311, 1, 147, 94, 2512, 0.000043480050751395406
Type 'ObjectConstructor' is not a valid async function return type in ES5/ES3 because it does not refer to a Promise-compatible constructor value., 1055, 1, 145, 96, 12648, 0.000044405158214191056
Namespace name cannot be 'with'., 2819, 1, 141, 135, 45220, 0.00006244475373870617
A 'get' accessor must return a value., 2378, 1, 140, 94, 11792, 0.000043480050751395406
Subsequent property declarations must have the same type.  Property 'state' must be of type 'string', but here has type '"Texas" | "Alabama" | "California" | "other"'., 2717, 1, 140, 75, 35907, 0.00003469152985483676
Tuple type '[]' of length '0' has no element at index '0'., 2493, 1, 134, 44, 122564, 0.000020352364181504233
File '../node_modules/ptz-user-app/src/typings/index.d.ts' not found., 6053, 1, 129, 112, 15282, 0.00005180601791655623
The right-hand side of a 'for...in' statement must be of type 'any', an object type or a type parameter, but here has type 'number'., 2407, 1, 123, 112, 3179, 0.00005180601791655623
Statement expected., 1129, 1, 123, 77, 8452, 0.00003561663731763241
'catch' or 'finally' expected., 1472, 1, 119, 118, 35937, 0.00005458134030494317
Binary digit expected., 1177, 1, 118, 81, 452, 0.0000374668522432237
'#!' can only be used at the start of a file., 18026, 1, 116, 106, 1554, 0.00004903069552816929
'export =' can only be used in TypeScript files., 8003, 1, 110, 98, 30442, 0.000045330265676986705
Merged declaration 'User' cannot include a default export declaration. Consider adding a separate 'export default User' declaration instead., 2652, 1, 109, 45, 114705, 0.000020814917912902057
Identifier expected. 'let' is a reserved word in strict mode. Modules are automatically in strict mode., 1214, 1, 108, 83, 19538, 0.00003839195970601935
A 'this' type is available only in a non-static member of a class or interface., 2526, 1, 107, 83, 38852, 0.00003839195970601935
Type 'string' is not comparable to type '() => string'., 2678, 1, 103, 39, 338148, 0.000018039595524515116
'super' can only be referenced in a derived class., 2335, 1, 102, 100, 69000, 0.00004625537313978235
The 'with' statement is not supported. All symbols in a 'with' block will have type 'any'., 2410, 1, 101, 86, 171441, 0.00003977962090021282
Multiple consecutive numeric separators are not permitted., 6189, 1, 101, 24, 225763, 0.000011101289553547764
Meta-property 'new.target' is only allowed in the body of a function declaration, function expression, or constructor., 17013, 1, 100, 82, 55782, 0.000037929405974621524
Property 'foo' of type 'string' is not assignable to 'string' index type 'number'., 2411, 1, 97, 7, 883198, 0.0000032378761197847644
The right-hand side of an 'instanceof' expression must be of type 'any' or of a type assignable to the 'Function' interface type., 2359, 1, 93, 48, 76793, 0.000022202579107095528
All declarations of 'state' must have identical modifiers., 2687, 1, 91, 38, 35907, 0.000017577041793117294
A type literal property cannot have an initializer., 1247, 1, 90, 20, 76491, 0.00000925107462795647
Enum 'S3PBAttributeType' used before its declaration., 2450, 1, 88, 22, 1637, 0.000010176182090752116
Type annotation cannot appear on a constructor declaration., 1093, 1, 88, 74, 87070, 0.00003422897612343894
Generic type 'Required' requires 1 type argument(s)., 2314, 1, 87, 55, 141084, 0.000025440455226880294
Constructor of class 'Channel' is private and only accessible within the class declaration., 2673, 1, 82, 63, 226921, 0.00002914088507806288
Cannot assign to 'fields' because it is a read-only property., 2540, 1, 81, 73, 13666, 0.00003376642239204112
Property 'testNested' is used before its initialization., 2729, 1, 77, 52, 4225, 0.000024052794032686823
Interface name cannot be 'with'., 2427, 1, 77, 50, 9031, 0.000023127686569891174
Property 'matchesWith' does not exist on type 'BaseClass'. Did you mean to access the static member 'BaseClass.matchesWith' instead?, 2576, 1, 77, 48, 45853, 0.000022202579107095528
Conversion of type 'void' to type 'UserModel' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first., 2352, 1, 77, 44, 106280, 0.000020352364181504233
Class declaration cannot implement overload list for 'default'., 2813, 1, 73, 68, 5546, 0.000031453653735052
A computed property name in a type literal must refer to an expression whose type is a literal type or a 'unique symbol' type., 1170, 1, 72, 40, 179833, 0.00001850214925591294
An enum member name must be followed by a ',', '=', or '}'., 1357, 1, 71, 27, 194745, 0.000012488950747741235
A class declaration without the 'default' modifier must have a name., 1211, 1, 70, 67, 46158, 0.00003099110000365418
Function type notation must be parenthesized when used in a union type., 1385, 1, 66, 39, 87127, 0.000018039595524515116
Type parameter name cannot be 'string'., 2368, 1, 63, 39, 28765, 0.000018039595524515116
Unable to resolve signature of parameter decorator when called as an expression., 1239, 1, 60, 55, 27980, 0.000025440455226880294
Object is possibly 'null'., 2531, 1, 59, 46, 3690, 0.000021277471644299882
Ambient modules cannot be nested in other modules or namespaces., 2435, 1, 58, 52, 62897, 0.000024052794032686823
Variable declaration not allowed at this location., 1440, 1, 56, 49, 101849, 0.000022665132838493353
'browser' is possibly 'null'., 18047, 1, 56, 43, 118831, 0.00001988981045010641
JSX elements cannot have multiple attributes with the same name., 17001, 1, 51, 50, 149891, 0.000023127686569891174
A destructuring declaration must have an initializer., 1182, 1, 50, 42, 164213, 0.000019427256718708586
The type of a function declaration must match the function's signature., 8030, 1, 49, 35, 219234, 0.000016189380598923824
'await' expressions are only allowed within async functions and at the top levels of modules., 1308, 1, 45, 19, 5098, 0.000008788520896558647
Cannot use namespace 'read' as a type., 2709, 1, 45, 37, 68994, 0.00001711448806171947
Parameter cannot have question mark and initializer., 1015, 1, 43, 30, 87070, 0.000013876611941934705
Rest types may only be created from object types., 2700, 1, 41, 40, 31225, 0.00001850214925591294
Property 'closed' in type 'Readable' is not assignable to the same property in base type 'Readable'., 2416, 1, 39, 31, 14254, 0.000014339165673332528
Cannot invoke an object which is possibly 'null'., 2721, 1, 39, 35, 162285, 0.000016189380598923824
An import declaration can only be used at the top level of a module., 1473, 1, 35, 32, 68079, 0.000014801719404730351
Duplicate index signature for type 'string'., 2374, 1, 35, 7, 671569, 0.0000032378761197847644
A class member cannot have the 'const' keyword., 1248, 1, 34, 31, 1319, 0.000014339165673332528
Setters cannot return a value., 2408, 1, 34, 23, 4225, 0.000010638735822149941
Static property 'name' conflicts with built-in property 'Function.name' of constructor function 'CollectionName'., 2699, 1, 33, 30, 26290, 0.000013876611941934705
The left-hand side of a 'for...in' statement must be of type 'string' or 'any'., 2405, 1, 33, 29, 410464, 0.00001341405821053688
Parameter 'severity' cannot reference itself., 2372, 1, 32, 29, 65958, 0.00001341405821053688
Declaration name conflicts with built-in global identifier 'globalThis'., 2397, 1, 32, 31, 87118, 0.000014339165673332528
JSDoc '@typedef' tag should either have a type annotation or be followed by '@property' or '@member' tags., 8021, 1, 31, 24, 76773, 0.000011101289553547764
Invalid module name in augmentation, module 'deck.gl' cannot be found., 2664, 1, 31, 30, 94365, 0.000013876611941934705
Namespace '"inspector".Schema' has no exported member 'Types'., 2694, 1, 31, 22, 305363, 0.000010176182090752116
Variable 'chart' is used before being assigned., 2454, 1, 31, 17, 662848, 0.000007863413433763
Expected at least 1 arguments, but got 0., 2555, 1, 30, 22, 10218, 0.000010176182090752116
Object literal may only specify known properties, and '"args"' does not exist in type '{ name: any; }'., 2353, 1, 30, 12, 88585, 0.000005550644776773882
Cannot assign to 'undefined' because it is not a variable., 2539, 1, 29, 12, 545181, 0.000005550644776773882
Export declaration conflicts with exported declaration of 'LogoutEvent'., 2484, 1, 28, 17, 79772, 0.000007863413433763
A binding pattern parameter cannot be optional in an implementation signature., 2463, 1, 27, 20, 141910, 0.00000925107462795647
Invalid use of 'arguments'. Modules are automatically in strict mode., 1215, 1, 27, 23, 245882, 0.000010638735822149941
'delete' cannot be called on an identifier in strict mode., 1102, 1, 27, 22, 253181, 0.000010176182090752116
Assertions require the call target to be an identifier or qualified name., 2776, 1, 27, 19, 261182, 0.000008788520896558647
Cannot export 'undefined'. Only local declarations can be exported from a module., 2661, 1, 25, 18, 24406, 0.000008325967165160823
'state' is referenced directly or indirectly in its own type annotation., 2502, 1, 25, 18, 27566, 0.000008325967165160823
All declarations of 'Iterator' must have identical type parameters., 2428, 1, 25, 13, 87147, 0.000006013198508171706
An object literal cannot have property and accessor with the same name., 1119, 1, 25, 24, 109167, 0.000011101289553547764
JSX expressions may not use the comma operator. Did you mean to write an array?, 18007, 1, 24, 23, 30738, 0.000010638735822149941
Module '"cluster"' has no exported member 'isMaster'. Did you mean to use 'import isMaster from "cluster"' instead?, 2614, 1, 23, 23, 64850, 0.000010638735822149941
'for await' loops are only allowed at the top level of a file when that file is a module, but this file has no imports or exports. Consider adding an empty 'export {}' to make this file a module., 1431, 1, 23, 21, 90580, 0.000009713628359354293
Duplicate label 'uri'., 1114, 1, 22, 13, 209175, 0.000006013198508171706
The '+' operator cannot be applied to type 'symbol'., 2469, 1, 21, 15, 59691, 0.000006938305970967353
It is likely that you are missing a comma to separate these two template expressions. They form a tagged template expression which cannot be invoked., 2796, 1, 21, 17, 70990, 0.000007863413433763
'async' modifier cannot be used here., 1042, 1, 21, 21, 93848, 0.000009713628359354293
'static' modifier must precede 'async' modifier., 1029, 1, 21, 21, 288538, 0.000009713628359354293
JSDoc '@extends superhero' does not match the 'extends Dispatcher' clause., 8023, 1, 21, 21, 388552, 0.000009713628359354293
A required parameter cannot follow an optional parameter., 1016, 1, 20, 20, 75682, 0.00000925107462795647
'Number' accepts too few arguments to be used as a decorator here. Did you mean to call it first and write '@Number()'?, 1329, 1, 20, 16, 140862, 0.000007400859702365176
'parseBootstrap' is not a valid meta-property for keyword 'import'. Did you mean 'meta'?, 17012, 1, 18, 17, 61574, 0.000007863413433763
A rest parameter must be last in a parameter list., 1014, 1, 18, 14, 64430, 0.000006475752239569529
